Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
LED41,SK6812,SK6812-MINI-E,229.4625,-138.655,0.0,top
LED42,SK6812,SK6812-MINI-E,250.89375,-138.655,0.0,top
LED5,SK6812,SK6812-MINI-E,119.925,-81.505,180.0,top
LED6,SK6812,SK6812-MINI-E,138.975,-81.505,180.0,top
LED7,SK6812,SK6812-MINI-E,158.025,-81.505,180.0,top
LED8,SK6812,SK6812-MINI-E,177.075,-81.505,180.0,top
LED9,SK6812,SK6812-MINI-E,196.125,-81.505,180.0,top
LEDC1,0.1u,C_0402_1005Metric,47.825,-80.255,-90.0,top
LEDC10,0.1u,C_0402_1005Metric,219.275,-80.255,-90.0,top
LEDC11,0.1u,C_0402_1005Metric,238.325,-80.255,-90.0,top
LEDC12,0.1u,C_0402_1005Metric,257.375,-80.255,-90.0,top
LEDC13,0.1u,C_0402_1005Metric,46.76875,-101.805,90.0,top
LEDC14,0.1u,C_0402_1005Metric,72.9625,-101.805,90.0,top
LEDC15,0.1u,C_0402_1005Metric,92.0125,-101.805,90.0,top
LEDC16,0.1u,C_0402_1005Metric,111.0625,-101.805,90.0,top
LEDC17,0.1u,C_0402_1005Metric,130.1125,-101.805,90.0,top
LEDC18,0.1u,C_0402_1005Metric,149.1625,-101.805,90.0,top
LEDC19,0.1u,C_0402_1005Metric,168.212499,-101.805,90.0,top
LEDC2,0.1u,C_0402_1005Metric,66.875,-80.255,-90.0,top
LEDC20,0.1u,C_0402_1005Metric,187.2625,-101.805,90.0,top
LEDC21,0.1u,C_0402_1005Metric,206.3125,-101.805,90.0,top
LEDC22,0.1u,C_0402_1005Metric,225.3625,-101.805,90.0,top
LEDC23,0.1u,C_0402_1005Metric,246.79375,-101.805,90.0,top
LEDC24,0.1u,C_0402_1005Metric,47.825,-118.355,-90.0,top
LEDC25,0.1u,C_0402_1005Metric,66.875,-118.355,-90.0,top
LEDC26,0.1u,C_0402_1005Metric,88.30625,-118.355,-90.0,top
LEDC27,0.1u,C_0402_1005Metric,109.7375,-118.355,-90.0,top
LEDC28,0.1u,C_0402_1005Metric,128.7875,-118.355,-90.0,top
LEDC29,0.1u,C_0402_1005Metric,147.8375,-118.355,-90.0,top
LEDC3,0.1u,C_0402_1005Metric,85.925,-80.255,-90.0,top
LEDC30,0.1u,C_0402_1005Metric,166.8875,-118.355,-90.0,top
LEDC31,0.1u,C_0402_1005Metric,185.9375,-118.355,-90.0,top
LEDC32,0.1u,C_0402_1005Metric,204.9875,-118.355,-90.0,top
LEDC33,0.1u,C_0402_1005Metric,224.0375,-118.355,-90.0,top
LEDC34,0.1u,C_0402_1005Metric,250.23125,-118.355,-90.0,top
LEDC35,0.1u,C_0402_1005Metric,39.625,-139.905,90.0,top
LEDC36,0.1u,C_0402_1005Metric,58.675,-139.905,90.0,top
LEDC37,0.1u,C_0402_1005Metric,77.725,-139.905,90.0,top
LEDC38,0.1u,C_0402_1005Metric,122.96875,-139.905,90.0,top
LEDC39,0.1u,C_0402_1005Metric,170.59375,-139.905,90.0,top
LEDC4,0.1u,C_0402_1005Metric,104.975,-80.255,-90.0,top
LEDC40,0.1u,C_0402_1005Metric,203.93125,-139.905,90.0,top
LEDC41,0.1u,C_0402_1005Metric,225.3625,-139.905,90.0,top
LEDC42,0.1u,C_0402_1005Metric,246.79375,-139.905,90.0,top
LEDC5,0.1u,C_0402_1005Metric,124.025,-80.255,-90.0,top
LEDC6,0.1u,C_0402_1005Metric,143.075,-80.255,-90.0,top
